IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023
Annex_I,Central Europe,SVN,Slovenia,2.A.4,Other Process Uses of Carbonates,CO2,fossil,10.20912388,10.20912388,10.20912388,10.20912388,10.20912388,10.20912388,10.20912388,10.20931748,10.20893029,10.20951108,10.20834957,10.21067286,10.20602733,10.21532262,10.19694208,10.23357501,10.15942007,10.30467687,10.00516908,10.51314485,28.34529964,30.82913036,31.55778799,34.27341259,46.25402,48.48590682,49.66684882,43.0624576,39.98584023,31.94862283,20.47636379,30.70293032,28.68260872,28.58876318,24.74052135,24.00828011,21.01318783,60.5830596,94.14206811,24.64860178,42.29656923,25.70064916,26.46178378,27.16280866,27.14340546,24.9301923,26.23867799,27.07244845,28.12253281,28.51526073,27.16229933,27.16229933,27.16229933,27.16229933
Annex_I,Central Europe,SVN,Slovenia,2.B,Chemical Industry,CO2,fossil,202.508398,147.029727,163.292562,136.635315,148.884726,128.829904,127.676616,112.05278,112.437039,121.433134,121.198176,120.063622,121.711603,132.799204,139.058412,129.260522,108.546378,96.31119,144.076431,129.481694,83.364927,88.473352,30.826574,29.544759,70.590852,100.003899,82.237708,118.670063,123.369044,128.386318,120.51097,135.59174,118.40943,148.21658,128.65936,147.094568,136.50224,138.844316,75.803264,79.327128,62.296136,76,76,76,76,76,76,76,76,76,79.07798315,79.9684521,80.45663492,78.16067324
Annex_I,Central Europe,SVN,Slovenia,2.C,Metal Industry,CO2,fossil,3819.565323,3766.784178,3705.017174,4723.001355,4728.502274,4267.657681,4206.929046,4818.775476,5102.073294,5869.814654,6543.661808,3517.666948,3329.347734,5668.270997,5878.915351,5303.746349,4580.055209,4834.205129,5879.325722,4491.220317,583.5679161,405.5067671,243.329828,206.1872792,196.546,196.297048,178.419424,186.9689158,173.23106,170.52982,172.456736,171.817224,190.077976,230.6608,296.3112,301.1981,259.9316,226.0722,160.8866,75.23496,90.32136,148.3266,160.10128,160.71728,161.05284,159.7795732,161.06332,162.557,156.56288,135.67708,105.11676,110.465386,110.0777731,103.7784071
Annex_I,Central Europe,SVN,Slovenia,2.D,Non-Energy Products from Fuels and Solvent Use,CO2,fossil,15.10681747,15.14447005,15.18414249,15.20415753,15.2747354,15.31677188,15.38157801,15.42166991,15.46497432,15.46486693,15.46332122,14.96188894,14.48236232,14.01502943,13.53147647,13.04428751,13.22093592,13.41470267,13.59048053,13.75457078,14.16321364,13.46732213,14.34705097,11.17920726,10.37413677,10.31371075,12.88740623,15.96281451,32.25546858,18.49191255,18.78198858,28.76686364,30.40127094,24.15720526,32.45891591,29.00130751,31.61365669,25.88732409,22.37792478,17.9658634,18.42930492,20.74397408,24.54424079,23.83506685,28.00185941,28.63734378,32.13909625,33.71579233,43.54824852,44.61837838,46.47548849,47.32111683,48.31276943,49.82840152
Annex_I,Central Europe,SVN,Slovenia,3.C.2,Liming,CO2,fossil,,,,,,,,,,,,,,,,,,,,,,,0.5761904762,0.5761904762,3.457142857,3.142857143,0.6285714288,1.571428571,0.9428571429,,1.257142857,4.4,4.4,6.6,5.971428572,5.657142857,4.085714286,5.657142857,1.571428571,1.571428571,1.885714286,1.885714286,3.352380952,2.723809524,3.352380953,2.514285715,2.723809525,2.933333334,3.352380953,3.352380953,3.352380953,2.723809525,2.679955704,2.679955704
Annex_I,Central Europe,SVN,Slovenia,3.C.3,Urea application,CO2,fossil,3.781663969,3.781663969,3.781663969,3.781663969,3.821470958,3.987333413,4.199637355,4.312423824,4.51145877,5.214715578,4.909528661,5.042218625,5.241253571,4.312423824,8.399274709,8.956572557,6.515077223,7.132085555,5.247888069,8.803979099,7.145354551,4.644148733,8.823882593,19.28970871,5.499999,18.07142529,,10.21428386,44.47142049,53.11427606,56.88570394,49.18570534,59.24284637,56.0999898,62.54284577,65.37141669,47.14284857,31.42856571,23.57142429,31.42856571,17.28571114,,,,,,,,,,,,,
Annex_I,Central Europe,SVN,Slovenia,4.C,Incineration and Open Burning of Waste,CO2,fossil,0.5341090516,0.5535139237,0.5737109057,0.5946705703,0.6162553439,0.6383860113,0.6619098768,0.6859545576,0.7106370705,0.736133298,0.7625468004,0.7766329068,0.7911895326,0.8058677697,0.820203266,0.8338229487,0.844164289,0.8536446743,0.861986927,0.8688583085,0.8740875,0.8740875,0.8740875,0.8740875,0.56771,0.28743,0.4172025,0.2058008333,0.4814333333,1.156393333,1.417368333,1.443108333,1.2773475,1.80037,1.5524093,1.488140106,1.797744401,2.228481893,2.338493784,2.892079632,3.446056627,3.463928844,3.558699949,7.69655057,8.994146155,12.03453899,9.822837548,11.84341337,9.053740887,8.975040122,8.420458594,6.233687043,5.515856942,4.890869838
Annex_I,OECD_Europe,SWE,Sweden,1.A.1.a,Main Activity Electricity and Heat Production,CO2,fossil,12916.6126,9237.853,9616.0363,7913.19902,9441.287636,5561.38146,8190.24232,8404.344816,8899.099658,10374.47532,9224.705566,6580.231376,6739.097666,6692.356236,8846.490472,12361.38859,12132.40934,11600.4606,9765.8012,8334.140688,8119.915328,10353.58987,9563.592558,9844.34522,10452.19739,9741.524304,14216.42394,10236.27474,11036.3321,9685.333672,7784.005396,8787.01339,10228.61906,11184.39483,10217.59658,9127.553004,9205.979,7883.027564,7838.236288,7980.927688,10706.78804,8197.265358,7246.93371,7266.14512,6307.492682,6187.589496,7105.779936,7068.184428,7294.242416,6438.124022,6022.50808,6422.71287,5931.578116,5898.778062
Annex_I,OECD_Europe,SWE,Sweden,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CO2,fossil,1093.75913,1084.70474,1026.32961,599.995,575.56388,1013.87464,1524.1549,1611.39646,1604.7525,1311.95236,1395.1694,1298.77482,1438.37912,1268.12686,1085.35346,1254.15328,1414.824,1543.89424,1289.33298,1434.71454,1645.91049,1592.81193,2087.42055,2039.8584,1966.70178,1958.6296,1961.75007,1712.71493,1837.7979,1974.75319,1953.53638,1699.67133,1396.65547,1752.16145,2165.73804,2175.166508,2334.862996,2059.846441,2427.703776,2516.030077,2345.398176,2269.118355,2561.568565,2169.210511,2897.836228,2919.701116,2842.71868,2797.008093,1220.119941,1279.249468,2204.574614,3570.578555,3278.820103,3130.087322
Annex_I,OECD_Europe,SWE,Sweden,1.A.2,Manufacturing Industries and Construction,CO2,fossil,23886.99531,22248.02657,21519.86758,24664.29821,22899.82084,23995.75125,23338.20448,21151.03551,20744.36785,21298.26352,19337.99241,16111.7154,14220.26667,12914.35476,12575.26742,12937.03954,12266.3779,11981.14611,11410.03193,10853.88426,11878.41013,11354.32,13275.69213,14356.21549,14647.29786,14801.22583,15255.14554,14099.76104,14152.03287,14276.88583,13628.8574,12195.29778,12576.72321,12216.61247,12282.61221,10764.92154,9823.760948,9849.786867,9368.788098,6890.779112,8939.188218,8613.739936,7898.305451,7420.275326,6972.973751,7179.228566,6835.550324,6901.294376,6906.969569,7017.491403,6543.18624,6738.872907,6527.593251,6339.169171
